Date,Forecast
2025-05-07,199.75893328
2025-05-08,201.58598933000002
2025-05-09,198.6114426
2025-05-12,200.33930214000003
2025-05-13,210.08210182
2025-05-14,211.27350802
2025-05-15,213.88719421000002
2025-05-16,212.53591127
2025-05-19,213.22582747
2025-05-20,209.56402778
2025-05-21,209.48169415
2025-05-22,206.35461673
2025-05-23,202.57474825000003
2025-05-26,194.09728417000002
2025-05-27,197.4166166
2025-05-28,201.18685654
2025-05-29,201.99695059
2025-05-30,202.69592238
2025-06-02,201.63764767
2025-06-03,202.12673413
2025-06-04,202.90474870999998
2025-06-05,203.52987958
2025-06-06,203.33151955000002
2025-06-09,202.56998048000003
2025-06-10,203.74989069999998
2025-06-11,203.27355261999998
2025-06-12,203.66993755
2025-06-13,201.95486426000002
2025-06-16,200.91510060000002
2025-06-17,199.00213002
