Date,Forecast,Actual
2025-07-03,211.5917,211.80999755859372
2025-07-04,215.05582,210.30500030517578
2025-07-07,210.09813,208.8000030517578
2025-07-08,211.80475,208.4499969482422
2025-07-09,211.5791,207.22000122070312
2025-07-10,210.73714,210.02999877929688
2025-07-11,210.73714,209.8600006103516
2025-07-14,209.38762,207.5399932861328
2025-07-15,211.76329,208.9199981689453
2025-07-16,211.4598,208.63999938964844
2025-07-17,210.73714,209.58999633789065
2025-07-18,210.73714,209.6999969482422
2025-07-21,209.38762,211.6300048828125
2025-07-22,215.03374,212.22999572753903
2025-07-23,214.727,212.41000366210935
2025-07-24,214.23398,213.52999877929688
2025-07-25,214.35329,213.3999938964844
2025-07-28,212.99571,213.05999755859372
2025-07-29,215.18578,210.82000732421875
2025-07-30,214.88228,207.72000122070312
2025-07-31,210.72827,207.16000366210935
2025-08-01,210.54942,201.5
2025-08-04,200.09462,201.67999267578125
2025-08-05,203.40784,202.16000366210935
2025-08-06,205.40872,205.58999633789065
2025-08-07,205.07574,216.5800018310547
2025-08-08,217.78706,219.25
2025-08-11,217.87129,224.75999450683597
2025-08-12,227.24889,227.07000732421875
2025-08-13,226.25899,230.42999267578125
