Date,Forecast,Actual
2025-07-03,155.06989,154.8800048828125
2025-07-04,155.0152,154.88500213623044
2025-07-07,154.98769,154.88999938964844
2025-07-08,155.04836,154.2100067138672
2025-07-09,154.44328,155.07000732421875
2025-07-10,155.23381,155.82000732421875
2025-07-11,156.00629,155.17999267578122
2025-07-14,155.41057,155.52000427246094
2025-07-15,155.6843,154.8000030517578
2025-07-16,155.04793,159.8000030517578
2025-07-17,159.74112,162.3000030517578
2025-07-18,162.36365,163.36000061035156
2025-07-21,163.35826,162.77999877929688
2025-07-22,162.85268,164.7100067138672
2025-07-23,164.7721,166.58999633789062
2025-07-24,166.73138,168.8800048828125
2025-07-25,168.97516,167.44000244140625
2025-07-28,167.61304,165.0500030517578
2025-07-29,165.27187,166.36999511718753
2025-07-30,166.65343,166.77999877929688
2025-07-31,167.12346,164.22999572753903
2025-08-01,164.53717,164.7899932861328
2025-08-04,165.04007,166.6399993896484
2025-08-05,166.91023,169.64999389648438
2025-08-06,169.78233,169.67999267578125
2025-08-07,169.76031,169.9199981689453
2025-08-08,169.96129,170.38999938964844
2025-08-11,170.51761,173.0500030517578
2025-08-12,173.18048,171.80999755859375
2025-08-13,171.96263,172.6999969482422
