Date,Forecast,Actual
2025-07-04,493.92237233680294,494.3350067138672
2025-07-07,493.510350613548,495.2300109863281
2025-07-08,493.4973710832063,494.1099853515625
2025-07-09,493.66899728257243,499.739990234375
2025-07-10,493.62525494815696,497.75
2025-07-11,493.5787234187296,497.7999877929688
2025-07-14,493.58706723387166,501.0299987792969
2025-07-15,493.59720597876566,502.7900085449219
2025-07-16,493.5934621429867,501.8900146484375
2025-07-17,493.59149637216706,505.6199951171875
2025-07-18,493.5927648170627,507.4299926757813
2025-07-21,493.59321244098476,505.5499877929688
2025-07-22,493.59284886039177,505.2699890136719
2025-07-23,493.59277596039414,500.7000122070313
2025-07-24,493.5928754142319,507.2999877929688
2025-07-25,493.59288256340056,510.3599853515625
2025-07-28,493.5928553557965,510.1199951171875
2025-07-29,493.59285627629066,511.55999755859375
2025-07-30,493.592863182965,509.4400024414063
2025-07-31,493.59286222918,531.9000244140625
2025-08-01,493.59286055689006,520.8599853515625
2025-08-04,493.5928609894658,528.1300048828125
2025-08-05,493.5928613772503,527.239990234375
2025-08-06,493.5928612241504,524.030029296875
2025-08-07,493.5928611399979,517.5499877929688
2025-08-08,493.59286118846404,519.4099731445312
2025-08-11,493.59286120497666,519.719970703125
2025-08-12,493.59286119065916,522.7000122070312
2025-08-13,493.59286118791744,519.3699951171875
2025-08-14,493.5928611919161,520.1400146484375
