Date,Forecast,Actual
2025-07-03,155.14290184446097,154.8800048828125
2025-07-04,155.0379371560287,154.88500213623047
2025-07-07,154.91472386153362,154.88999938964844
2025-07-08,154.92472353312914,154.2100067138672
2025-07-09,154.88522820333213,155.07000732421875
2025-07-10,154.86739389010208,155.82000732421875
2025-07-11,154.8923278371039,155.17999267578125
2025-07-14,154.91679062057634,155.52000427246094
2025-07-15,154.9050276457938,154.8000030517578
2025-07-16,154.8881836828129,159.8000030517578
2025-07-17,154.89310833673855,162.3000030517578
2025-07-18,154.90426986523133,163.36000061035156
2025-07-21,154.9022522871408,162.77999877929688
2025-07-22,154.89490611360725,164.7100067138672
2025-07-23,154.8954374057935,166.58999633789062
2025-07-24,154.9002355959309,168.8800048828125
2025-07-25,154.90040716702202,167.44000244140625
2025-07-28,154.8973317495375,165.0500030517578
2025-07-29,154.8968881273664,166.3699951171875
2025-07-30,154.89882197265564,166.77999877929688
2025-07-31,154.89931686258365,164.22999572753906
2025-08-01,154.89812442121024,164.7899932861328
2025-08-04,154.8976767773605,166.63999938964844
2025-08-05,154.89839671695833,169.64999389648438
2025-08-06,154.89876287531575,169.67999267578125
2025-08-07,154.89833855407895,169.9199981689453
2025-08-08,154.89805681263076,170.38999938964844
2025-08-11,154.89829978120963,173.0500030517578
2025-08-12,154.8985075487456,171.80999755859375
2025-08-13,154.89837343948838,172.6999969482422
