Forecasted_Price
2.543297004699707031e+01
2.547219276428222656e+01
2.548612213134765625e+01
2.548437309265136719e+01
2.547290611267089844e+01
2.545538139343261719e+01
2.543404006958007812e+01
2.541026306152343750e+01
2.538488960266113281e+01
2.535845375061035156e+01
2.533129692077636719e+01
2.530364036560058594e+01
2.527564239501953125e+01
2.524739646911621094e+01
2.521898841857910156e+01
2.519046783447265625e+01
2.516187477111816406e+01
2.513323593139648438e+01
2.510457420349121094e+01
2.507589721679687500e+01
2.504721450805664062e+01
2.501853179931640625e+01
2.498984718322753906e+01
2.496116065979003906e+01
2.493247413635253906e+01
2.490377998352050781e+01
2.487508010864257812e+01
2.484636497497558594e+01
2.481763839721679688e+01
2.478889274597167969e+01
