Forecasted_Price
2.519364624023437500e+02
2.522684936523437500e+02
2.524299468994140625e+02
2.524776000976562500e+02
2.524503631591796875e+02
2.523743438720703125e+02
2.522667541503906250e+02
2.521389923095703125e+02
2.519980163574218750e+02
2.518486633300781250e+02
2.516938018798828125e+02
2.515352783203125000e+02
2.513743896484375000e+02
2.512117309570312500e+02
2.510480804443359375e+02
2.508836822509765625e+02
2.507188415527343750e+02
2.505538024902343750e+02
2.503886566162109375e+02
2.502236175537109375e+02
2.500588378906250000e+02
2.498942565917968750e+02
2.497301330566406250e+02
2.495663757324218750e+02
2.494030914306640625e+02
2.492403259277343750e+02
2.490781250000000000e+02
2.489164886474609375e+02
2.487555084228515625e+02
2.485950317382812500e+02
