Date,Forecast,Actual
2025-07-03,208.45842886472659,211.80999755859372
2025-07-04,208.06824836201142,210.30500030517578
2025-07-07,208.00742303072923,208.8000030517578
2025-07-08,207.5462997335866,208.4499969482422
2025-07-09,207.3807443024704,207.22000122070312
2025-07-10,207.22886565776807,210.02999877929688
2025-07-11,207.22517785009458,209.8600006103516
2025-07-14,207.20279152880744,207.5399932861328
2025-07-15,207.23372967262804,208.9199981689453
2025-07-16,207.24156725286372,208.63999938964844
2025-07-17,207.26001270774574,209.58999633789065
2025-07-18,207.26231122930767,209.6999969482422
2025-07-21,207.26775445695938,211.6300048828125
2025-07-22,207.2660793229384,212.22999572753903
2025-07-23,207.26660691856375,212.41000366210935
2025-07-24,207.26488932948027,213.52999877929688
2025-07-25,207.26478856770927,213.3999938964844
2025-07-28,207.2640265309394,213.05999755859372
2025-07-29,207.264113013844,210.82000732421875
2025-07-30,207.26391687019563,207.72000122070312
2025-07-31,207.26405836992697,207.16000366210935
2025-08-01,207.2640282844949,201.5
2025-08-04,207.26411367421633,201.67999267578125
2025-08-05,207.26410288393433,202.16000366210935
2025-08-06,207.26413499397137,205.58999633789065
2025-08-07,207.26412293891545,216.5800018310547
2025-08-08,207.26413158289827,219.25
2025-08-11,207.26412291832838,224.75999450683597
2025-08-12,207.26412532545035,227.07000732421875
2025-08-13,207.2641211891467,230.42999267578125
