Date,Forecast,Actual
2025-08-26,224.84134,224.69000244140625
2025-08-27,224.49149,228.25999450683597
2025-08-28,225.83992,229.33999633789062
2025-08-29,227.45735,231.36999511718747
2025-09-01,229.26845,229.1699981689453
2025-09-02,228.35089,226.97000122070312
2025-09-03,225.78146,234.36000061035156
2025-09-04,229.62384,236.7400054931641
2025-09-05,234.5833,238.49000549316406
2025-09-08,237.19186,236.33999633789065
2025-09-09,235.45226,233.3600006103516
2025-09-10,231.70018,225.94999694824222
2025-09-11,225.5948,226.6499938964844
2025-09-12,224.05345,229.0200042724609
2025-09-15,226.9446,235.02999877929688
2025-09-16,232.86832,236.32000732421875
2025-09-17,235.7725,237.729995727539
2025-09-18,235.99698,236.64999389648438
2025-09-19,234.48079,240.21000671386716
2025-09-22,236.2212,248.1199951171875
2025-09-23,243.3963,253.58000183105472
2025-09-24,250.7307,251.03999328613284
2025-09-25,250.64601,251.7100067138672
2025-09-26,248.50987,253.77999877929685
2025-09-29,249.35281,253.00999450683597
2025-09-30,250.6485,253.1100006103516
2025-10-01,251.2582,254.92999267578125
2025-10-02,252.36827,254.1499938964844
2025-10-03,252.31567,253.94999694824216
2025-10-06,251.77339,255.05000305175778
