Date,Forecast,Actual
2025-08-25,160.7809679648532,178.2899932861328
2025-08-26,160.5852097922908,175.77000427246094
2025-08-27,160.4200511312581,176.16000366210938
2025-08-28,160.13346611767372,174.6300048828125
2025-08-29,160.04179190518084,175.4499969482422
2025-09-01,159.35467303760296,176.1699981689453
2025-09-02,159.19946380394262,176.88999938964844
2025-09-03,159.08007704108334,176.52999877929688
2025-09-04,158.84263659377456,177.5500030517578
2025-09-05,158.8017009293053,176.55999755859375
2025-09-08,158.2605762989235,176.6999969482422
2025-09-09,158.14762332571885,176.4499969482422
2025-09-10,158.0656844709608,174.3300018310547
2025-09-11,157.860298234351,175.6300048828125
2025-09-12,157.8457005279604,176.72000122070312
2025-09-15,157.34989930594605,176.92999267578125
2025-09-16,157.24219702228945,175.64999389648438
2025-09-17,157.16176721833008,176.58999633789062
2025-09-18,156.95509396599,173.8699951171875
2025-09-19,156.93746177568417,173.3300018310547
2025-09-22,156.43323094477563,174.1199951171875
2025-09-23,156.32659301020956,174.8300018310547
2025-09-24,156.2508136092154,175.74000549316406
2025-09-25,156.05318430692355,175.91000366210938
2025-09-26,156.0496330697584,177.32000732421875
2025-09-29,155.62140068823092,179.8000030517578
2025-09-30,155.55147429305322,181.07000732421875
2025-10-01,155.51762498062755,183.91000366210935
2025-10-02,155.36655610860498,184.08999633789065
2025-10-03,155.41342630219705,186.91000366210935
