Date,Forecast,Actual
2025-07-04,231.80297991025304,210.30500030517578
2025-07-07,233.9072802948268,208.8000030517578
2025-07-08,234.99090755523233,208.4499969482422
2025-07-09,235.7408673340186,207.22000122070312
2025-07-10,236.23773695659347,210.02999877929688
2025-07-11,236.79299080100478,209.8600006103516
2025-07-14,238.2026430522861,207.5399932861328
2025-07-15,238.9768416968753,208.9199981689453
2025-07-16,239.38618519415598,208.63999938964844
2025-07-17,239.5171103880576,209.58999633789065
2025-07-18,239.68759345300816,209.6999969482422
2025-07-21,239.901569364785,211.6300048828125
2025-07-22,240.28834663574267,212.22999572753903
2025-07-23,240.32823253008505,212.41000366210935
2025-07-24,240.1146972755064,213.52999877929688
2025-07-25,239.97224669728107,213.3999938964844
2025-07-28,239.49117079326555,213.05999755859372
2025-07-29,239.74124311947742,210.82000732421875
2025-07-30,239.69619198911806,207.72000122070312
2025-07-31,239.45035802698186,207.16000366210935
2025-08-01,239.32793864285583,201.5
2025-08-04,239.20041771754626,201.67999267578125
2025-08-05,239.6538488790869,202.16000366210935
2025-08-06,239.8463053867487,205.58999633789065
2025-08-07,239.86573438574064,216.5800018310547
2025-08-08,240.02931509754094,219.25
2025-08-11,240.80810404310665,224.75999450683597
2025-08-12,241.55361685231603,227.07000732421875
2025-08-13,242.02032972828806,230.42999267578125
2025-08-14,242.28901733252138,230.8500061035156
