Date,Forecast,Actual
2025-08-25,25.754534,25.11000061035156
2025-08-26,25.229841,24.8700008392334
2025-08-27,24.8456,24.850000381469727
2025-08-28,24.898642,24.51000022888184
2025-08-29,24.659786,24.51000022888184
2025-09-01,24.529697,24.609999656677246
2025-09-02,24.558132,24.709999084472656
2025-09-03,24.89579,24.71999931335449
2025-09-04,24.939224,24.350000381469727
2025-09-05,24.40241,24.51000022888184
2025-09-08,24.594574,24.309999465942383
2025-09-09,24.323275,24.51000022888184
2025-09-10,24.598505,24.450000762939453
2025-09-11,24.507751,24.540000915527344
2025-09-12,24.53317,23.84000015258789
2025-09-15,23.75898,23.68000030517578
2025-09-16,23.719738,23.8700008392334
2025-09-17,23.670973,23.899999618530277
2025-09-18,23.75182,23.959999084472656
2025-09-19,24.11792,23.81999969482422
2025-09-22,23.926466,24.030000686645508
2025-09-23,24.20255,24.049999237060547
2025-09-24,24.202711,23.979999542236328
2025-09-25,24.18949,23.57999992370605
2025-09-26,23.755312,23.61000061035156
2025-09-29,23.84464,23.63999938964844
2025-09-30,23.850853,23.809999465942383
2025-10-01,23.935936,25.57999992370605
2025-10-02,25.4376,26.6200008392334
2025-10-03,26.770832,27.040000915527344
