Date,Forecast,Actual
2025-07-04,497.85168,494.3350067138672
2025-07-07,499.80267,495.2300109863281
2025-07-08,501.28107,494.10998535156256
2025-07-09,501.105,499.73999023437494
2025-07-10,504.30362,497.75000000000006
2025-07-11,504.81302,497.7999877929688
2025-07-14,504.6417,501.0299987792968
2025-07-15,506.44797,502.79000854492193
2025-07-16,508.55695,501.8900146484375
2025-07-17,508.8775,505.6199951171875
2025-07-18,511.05975,507.42999267578136
2025-07-21,513.3121,505.5499877929688
2025-07-22,513.0161,505.2699890136718
2025-07-23,512.2925,500.70001220703125
2025-07-24,508.9998,507.29998779296886
2025-07-25,511.46484,510.35998535156244
2025-07-28,515.2689,510.1199951171875
2025-07-29,516.90656,511.55999755859375
2025-07-30,518.1216,509.44000244140636
2025-07-31,517.12524,531.9000244140625
2025-08-01,530.57947,520.8599853515625
2025-08-04,531.07605,528.1300048828125
2025-08-05,533.93445,527.239990234375
2025-08-06,534.6089,524.030029296875
2025-08-07,532.41797,517.5499877929688
2025-08-08,526.91736,519.4099731445312
2025-08-11,525.4122,519.719970703125
2025-08-12,525.6643,522.7000122070312
2025-08-13,528.0404,519.3699951171875
2025-08-14,527.2492,520.1400146484375
