Date,Forecast,Actual
2025-07-04,490.15912,494.3350067138672
2025-07-07,490.61212,495.2300109863281
2025-07-08,490.70767,494.1099853515625
2025-07-09,489.21317,499.739990234375
2025-07-10,492.9256,497.75
2025-07-11,490.15912,497.7999877929688
2025-07-14,490.61212,501.0299987792969
2025-07-15,490.70767,502.7900085449219
2025-07-16,489.21317,501.8900146484375
2025-07-17,492.9256,505.6199951171875
2025-07-18,490.15912,507.4299926757813
2025-07-21,490.61212,505.5499877929688
2025-07-22,490.70767,505.2699890136719
2025-07-23,489.21317,500.7000122070313
2025-07-24,492.9256,507.2999877929688
2025-07-25,490.15912,510.3599853515625
2025-07-28,490.61212,510.1199951171875
2025-07-29,490.70767,511.55999755859375
2025-07-30,489.21317,509.4400024414063
2025-07-31,492.9256,531.9000244140625
2025-08-01,489.7583,520.8599853515625
2025-08-04,490.4196,528.1300048828125
2025-08-05,490.11432,527.239990234375
2025-08-06,488.81235,524.030029296875
2025-08-07,492.52478,517.5499877929688
2025-08-08,489.7583,519.4099731445312
2025-08-11,490.4196,519.719970703125
2025-08-12,490.11432,522.7000122070312
2025-08-13,488.81235,519.3699951171875
2025-08-14,492.52478,520.1400146484375
