Date,Forecast,Actual
2025-08-26,225.94183043,224.69000244140625
2025-08-27,224.56631254,228.25999450683597
2025-08-28,227.78276363000003,229.33999633789065
2025-08-29,228.15249926,231.3699951171875
2025-09-01,229.20163845000002,229.1699981689453
2025-09-02,228.83979491000002,226.97000122070312
2025-09-03,225.24597622000005,234.3600006103516
2025-09-04,231.67495725,236.7400054931641
2025-09-05,234.56590288,238.4900054931641
2025-09-08,236.33282923000002,236.33999633789065
2025-09-09,235.61590166000002,233.3600006103516
2025-09-10,231.30792931000002,225.9499969482422
2025-09-11,226.03520191,226.6499938964844
2025-09-12,225.81871402000002,229.0200042724609
2025-09-15,228.37445778,235.02999877929688
2025-09-16,232.40507371,236.32000732421875
2025-09-17,235.32575539,237.72999572753903
2025-09-18,235.36192116,236.6499938964844
2025-09-19,234.77218643000003,240.2100067138672
2025-09-22,237.8403474,248.1199951171875
2025-09-23,243.33577785,253.5800018310547
2025-09-24,247.22010083,251.0399932861328
2025-09-25,250.73513293000002,251.7100067138672
2025-09-26,249.80527853,253.77999877929688
2025-09-29,247.96603461,253.00999450683597
2025-09-30,248.15124043000003,253.1100006103516
2025-10-01,248.84846435999998,254.92999267578125
2025-10-02,250.84096383,254.1499938964844
2025-10-03,250.38821408,253.9499969482422
2025-10-06,249.23687498,255.0500030517578
