Date,Forecast,Actual
2025-07-03,155.4472594,154.8800048828125
2025-07-04,154.7660956,154.88500213623047
2025-07-07,154.75355919999998,154.88999938964844
2025-07-08,154.73763739999998,154.2100067138672
2025-07-09,154.19243649999999,155.07000732421875
2025-07-10,155.0470123,155.82000732421875
2025-07-11,155.9627156,155.17999267578125
2025-07-14,155.0818138,155.52000427246094
2025-07-15,155.5640726,154.8000030517578
2025-07-16,154.7010535,159.8000030517578
2025-07-17,160.08425820000002,162.3000030517578
2025-07-18,163.0463717,163.36000061035156
2025-07-21,163.5657586,162.77999877929688
2025-07-22,163.2067424,164.7100067138672
2025-07-23,164.6641126,166.58999633789062
2025-07-24,166.51640479999998,168.8800048828125
2025-07-25,169.3010602,167.44000244140625
2025-07-28,167.58467890000003,165.0500030517578
2025-07-29,164.7744976,166.3699951171875
2025-07-30,166.8207814,166.77999877929688
2025-07-31,167.0882139,164.22999572753906
2025-08-01,163.8966049,164.7899932861328
2025-08-04,164.992436,166.63999938964844
2025-08-05,166.6797916,169.64999389648438
2025-08-06,169.69005570000002,169.67999267578125
2025-08-07,170.0163861,169.9199981689453
2025-08-08,170.2601857,170.38999938964844
2025-08-11,170.9844793,173.0500030517578
2025-08-12,172.9640768,171.80999755859375
2025-08-13,171.4595558,172.6999969482422
