Date,Forecast,Actual
2025-07-04,154.59882,154.88500213623047
2025-07-07,154.58582,154.88999938964844
2025-07-08,154.29974,154.2100067138672
2025-07-09,153.96278,155.07000732421875
2025-07-10,155.04631,155.82000732421875
2025-07-11,155.972,155.17999267578125
2025-07-14,154.73361,155.52000427246094
2025-07-15,155.5461,154.8000030517578
2025-07-16,154.45276,159.8000030517578
2025-07-17,159.9238,162.3000030517578
2025-07-18,163.15689,163.36000061035156
2025-07-21,163.36853,162.77999877929688
2025-07-22,163.5295,164.7100067138672
2025-07-23,164.36426,166.58999633789062
2025-07-24,165.87434,168.8800048828125
2025-07-25,169.5008,167.44000244140625
2025-07-28,167.61981,165.0500030517578
2025-07-29,164.11566,166.3699951171875
2025-07-30,166.8834,166.77999877929688
2025-07-31,167.16777,164.22999572753906
2025-08-01,163.63594,164.7899932861328
2025-08-04,164.43211,166.63999938964844
2025-08-05,166.37367,169.64999389648438
2025-08-06,169.55884,169.67999267578125
2025-08-07,169.83499,169.9199981689453
2025-08-08,170.52501,170.38999938964844
2025-08-11,170.93584,173.0500030517578
2025-08-12,172.64482,171.80999755859375
2025-08-13,172.14714,172.6999969482422
2025-08-14,172.19193,172.72000122070312
