Date,Forecast,Actual
2025-07-04,495.99008048,494.3350067138672
2025-07-07,497.57855689999997,495.2300109863281
2025-07-08,498.7223072,494.1099853515625
2025-07-09,498.22717714000004,499.739990234375
2025-07-10,501.55013915999996,497.75
2025-07-11,501.2667762,497.7999877929688
2025-07-14,501.24654164,501.0299987792969
2025-07-15,502.6388174,502.7900085449219
2025-07-16,503.87575524,501.8900146484375
2025-07-17,505.0171402,505.6199951171875
2025-07-18,506.00179754,507.4299926757813
2025-07-21,507.81870484,505.5499877929688
2025-07-22,507.61745994000006,505.2699890136719
2025-07-23,506.70730214,500.7000122070313
2025-07-24,505.1098436,507.2999877929688
2025-07-25,506.30885576,510.3599853515625
2025-07-28,509.30195924000003,510.1199951171875
2025-07-29,510.56642862,511.55999755859375
2025-07-30,511.12575993999997,509.4400024414063
2025-07-31,511.26892711999994,531.9000244140625
2025-08-01,520.70074686,520.8599853515625
2025-08-04,521.2371891,528.1300048828125
2025-08-05,523.32997854,527.239990234375
2025-08-06,523.5261349,524.030029296875
2025-08-07,522.7638180199999,517.5499877929688
2025-08-08,517.9248674800001,519.4099731445312
2025-08-11,516.9439907999999,519.719970703125
2025-08-12,517.0612048400001,522.7000122070312
2025-08-13,518.5472119,519.3699951171875
2025-08-14,518.84589036,520.1400146484375
